"council","acc_year","acc_month","acc_nos","acc_vehicles","acc_persons","acc_cyclists","acc_females","acc_males","acc_deaths","acc_injs","acc_avgage","acc_avgsev","acc_lat","acc_long"
"Alpine","2006","1","5","6","8","0","2","5","0","6","37.428571428","2.400000000","-36.752600966932945","146.9152797206555"
"Alpine","2006","2","9","11","20","0","7","12","0","10","39.368421052","2.555555555","-36.738959983015576","146.96807137386895"
"Alpine","2006","3","8","11","19","0","7","12","0","14","38.631578947","2.250000000","-36.76892813642532","146.92523582750997"
"Alpine","2006","4","4","5","10","0","3","6","0","9","23.800000000","2.500000000","-36.63228847183291","146.90691677076956"
"Alpine","2006","5","3","4","7","0","4","3","0","5","26.571428571","2.333333333","-36.79328794865427","146.89109011155895"
"Alpine","2006","6","2","2","3","0","1","2","0","2","45.666666666","3.000000000","-36.883664343862044","147.11058238296005"
"Alpine","2006","8","2","2","2","0","0","2","0","2","26.500000000","2.500000000","-36.870342612458586","147.10242306043511"
"Alpine","2006","9","3","3","4","0","1","2","0","4","43.000000000","2.333333333","-36.53019788178147","146.7333454471437"
"Alpine","2006","10","2","2","2","0","1","1","0","2","42.500000000","2.000000000","-36.727545101557766","147.09223500060364"
"Alpine","2006","11","4","4","4","1","0","4","0","4","39.000000000","2.250000000","-36.88896454765002","146.95565853776012"
"Alpine","2006","12","4","5","7","0","4","3","0","6","20.142857142","2.250000000","-36.649896945832225","146.84891140080796"
"Alpine","2007","1","4","4","6","0","1","4","0","5","40.800000000","2.250000000","-36.70881295006087","146.86574106751442"
"Alpine","2007","2","8","10","22","0","10","12","0","14","24.909090909","2.500000000","-36.706598360812464","146.94842336900658"
"Alpine","2007","3","4","4","5","0","1","4","0","4","43.000000000","2.250000000","-36.857238314421","147.11315438464237"
"Alpine","2007","4","1","1","3","0","0","3","0","2","72.333333333","3.000000000","-36.40020239869884","147.03589486844675"
"Alpine","2007","5","4","4","6","0","0","6","0","6","40.666666666","2.750000000","-36.70373604576285","146.90286052784214"
"Alpine","2007","6","1","1","1","0","0","1","0","1","18.000000000","2.000000000","-36.56526593390815","146.71731008193925"
"Alpine","2007","8","6","8","16","0","10","6","0","13","27.437500000","2.666666666","-36.689982278179265","146.98533950804463"
"Alpine","2007","9","5","5","7","0","2","5","1","5","43.857142857","2.000000000","-36.7583499095105","146.93126648106775"
"Alpine","2007","10","8","9","10","1","1","9","0","10","28.700000000","2.500000000","-36.79770030492256","147.01976959956517"
"Alpine","2007","11","4","5","7","0","2","5","0","4","55.571428571","2.500000000","-36.72433725651713","146.99659005015138"
"Alpine","2007","12","5","6","11","0","1","9","0","9","48.000000000","2.400000000","-36.63881814106624","146.89483214654175"
"Alpine","2008","1","4","5","6","0","1","5","0","4","38.166666666","2.250000000","-36.807934916246666","147.03879396501924"
"Alpine","2008","2","3","4","5","0","2","3","1","3","57.800000000","2.333333333","-36.636875713176245","146.9975411884259"
